Makeup_Type,Brand,Product_Name,Shade_Name,Shade_Description,Finish,Undertone,Image,Image Link,,,,,,,,,Price
multiuse tint,GRWM Cosmetics,Milk Tint - Multiuse Creamy Tint,100% sugar,dark dusty rose with neutral undertone,velvet matte,Neutral,,https://drive.google.com/file/d/13inG3waXDZwaNoqXVB_CzWXm70RlMUyk/view?usp=drive_link,,,,,,,,,379
multiuse tint,GRWM Cosmetics,Milk Tint - Multiuse Creamy Tint,pablo's latte,medium pink with neutral undertone,velvet matte,Neutral,,https://drive.google.com/file/d/1euLotaCDjrWhka6TinlHVtwcBkPxLC7P/view?usp=drive_link,,,,,,,,,379
multiuse tint,GRWM Cosmetics,Milk Tint - Multiuse Creamy Tint,parfait,light nude pink with warm undertone,velvet matte,Warm,,https://drive.google.com/file/d/1eUCukWaV3OJD2Tg2JMEMccnUcI-OLkUq/view?usp=drive_link,,,,,,,,,379
multiuse tint,GRWM Cosmetics,Milk Tint - Multiuse Creamy Tint,gelato,medium mauve with warm undertone,velvet matte,Warm,,https://drive.google.com/file/d/1nFDCRRgBPor6-57xrkU_9uU9ySfJdaBh/view?usp=drive_link,,,,,,,,,379
multiuse tint,GRWM Cosmetics,Milk Tint - Multiuse Creamy Tint,honeydew,light medium pink with neutral undcrtonc,velvet matte,Neutral,,https://drive.google.com/file/d/13HBB1WLr4-I4X390uVPaEGRSSAr03waR/view?usp=drive_link,,,,,,,,,379
multiuse tint,GRWM Cosmetics,Milk Tint - Multiuse Creamy Tint,macchiato,rose terracotta with warm undertone,velvet matte,Warm,,https://drive.google.com/file/d/1LnRFPn58CPDU_ngIyNgSh-JfzgDWaYdA/view?usp=drive_link,,,,,,,,,379
multiuse tint,GRWM Cosmetics,Milk Tint - Multiuse Creamy Tint,lychee,light medium peach with cool undertone,velvet matte,Cool,,https://drive.google.com/file/d/1cPOYrcOQIIWNZosAiFldPB3iCr7r0Q6l/view?usp=drive_link,,,,,,,,,379
multiuse tint,GRWM Cosmetics,Milk Tint - Multiuse Creamy Tint,sweet pea,light milky pink with cool undertone,velvet matte,Cool,,https://drive.google.com/file/d/16tysmLSBfSkg7N3xrgHaBtQWnpE4LBHv/view?usp=drive_link,,,,,,,,,379
multiuse tint,GRWM Cosmetics,Milk Tint - Multiuse Creamy Tint,sansrival,medium almond pink with warm undertone,velvet matte,Warm,,https://drive.google.com/file/d/1tnS0eQTNUwAHHaMwzcpGxb_aTZqELKdB/view?usp=drive_link,,,,,,,,,379
multiuse tint,GRWM Cosmetics,Milk Tint - Multiuse Creamy Tint,super taro,medium purple with warm undertone,velvet matte,Warm,,https://drive.google.com/file/d/1dbyC-S5QxUB4ardlVLn7wwgZoygmUAsD/view?usp=drive_link,,,,,,,,,379
multiuse tint,GRWM Cosmetics,Milk Tint - Multiuse Creamy Tint,pudding,light rose peach with warm undertone,velvet matte,Warm,,https://drive.google.com/file/d/1XQ8RW9VkaklLa6SOPfR8BE0oJth9L9Kx/view?usp=drive_link,,,,,,,,,379
multiuse tint,GRWM Cosmetics,Milk Tint - Multiuse Creamy Tint,fruit tea,dark coral rose  with warm undertone,velvet matte,Warm,,https://drive.google.com/file/d/1LZYKwvDGcdETrOOsFB_5Gy--41ZnjMV2/view?usp=drive_link,,,,,,,,,379
multiuse tint,GRWM Cosmetics,Milk Tint - Multiuse Creamy Tint,2.15 coffee,rosewood taupe with neutral undertone,velvet matte,Neutral,,https://drive.google.com/file/d/1LEf0ul9qrgl_9PTD0Njq1qYp2npViVRl/view?usp=drive_link,,,,,,,,,379
multiuse tint,GRWM Cosmetics,Milk Tint - Multiuse Creamy Tint,material girl,light bright pink with cool undertone,velvet matte,Cool,,https://drive.google.com/file/d/1iqSA1v36KWasgjR5nkADX3S9NPaF3vS6/view?usp=drive_link,,,,,,,,,379
multiuse tint,GRWM Cosmetics,Milk Tint - Multiuse Creamy Tint,buttercream,medium rose with warm undertone,velvet matte,Warm,,https://drive.google.com/file/d/1C4il9_NkGOYQKbUt-eByBkMGchGXBfrf/view?usp=drive_link,,,,,,,,,379
multiuse tint,GRWM Cosmetics,Milk Tint - Multiuse Creamy Tint,soufflé,medium bright pink with warm undertone,velvet matte,Warm,,https://drive.google.com/file/d/1XZ5aQDDqNMjtS2_laQhlxxyz2w6LmbSx/view?usp=drive_link,,,,,,,,,379
multiuse tint,GRWM Cosmetics,Milk Tint - Multiuse Creamy Tint,bingsu,light coral pink with warm undertone,velvet matte,Warm,,https://drive.google.com/file/d/1TZOp1h90SnyFjQ9xLGMHLuqglTN4Xvwq/view?usp=drive_link,,,,,,,,,379
multiuse tint,GRWM Cosmetics,Milk Tint - Multiuse Creamy Tint,cheesecake,dark almond pink with warm undertone,velvet matte,Warm,,https://drive.google.com/file/d/1HVuJfSkKW7qAM4Aqv3CmILXN2sBiG5-B/view?usp=drive_link,,,,,,,,,379
multiuse tint,GRWM Cosmetics,Milk Tint - Multiuse Creamy Tint,pomelo,nude coral with neutral undertone,velvet matte,Neutral,,https://drive.google.com/file/d/1hbHxdFmUmmoH93r1PT8SeBRnbkmdWgZR/view?usp=drive_link,,,,,,,,,379
multiuse tint,GRWM Cosmetics,Milk Tint - Multiuse Creamy Tint,coconut,dark nude peach with warm undertone,velvet matte,Warm,,https://drive.google.com/file/d/1NBq7QJtiPXz1E_xY5MmmH-e4a_QlLacp/view?usp=drive_link,,,,,,,,,379
