Makeup_Type,Brand,Product_Name,Shade_Name,Shade_Description,Finish,Undertone,Image,Image Link,,,,,,,Price
eyeshadow,GRWM Cosmetics,Face Card Shadowplay - Velvet Matte Eyeshadow,Entourage,cool light taupe,velvet matte,Cool,,https://drive.google.com/file/d/1ecHrpkmClYhNrC7S-S-u_jWu8r4Wxfdr/view?usp=drive_link,,,,,,,149
eyeshadow,GRWM Cosmetics,Face Card Shadowplay - Velvet Matte Eyeshadow,Carriage,neutral cream,velvet matte,Neutral,,https://drive.google.com/file/d/1rHJkMyHQ7RygE3LSrP3EVV0gS_4kGeE7/view?usp=drive_link,,,,,,,149
eyeshadow,GRWM Cosmetics,Face Card Shadowplay - Velvet Matte Eyeshadow,Seductress,warm dark reddish brown,velvet matte,Warm,,https://drive.google.com/file/d/1YSChQQUgovxBJj0ZVzC5YZSEsgPqJ7ck/view?usp=drive_link,,,,,,,149
eyeshadow,GRWM Cosmetics,Face Card Shadowplay - Velvet Matte Eyeshadow,Perky,neutral gold achre,velvet matte,Neutral,,https://drive.google.com/file/d/17e_aTzyKZJ5kUoIVzvtVPtlxQBd4Y0FE/view?usp=drive_link,,,,,,,149
eyeshadow,GRWM Cosmetics,Face Card Shadowplay - Velvet Matte Eyeshadow,Show,warm dark brown,velvet matte,Warm,,https://drive.google.com/file/d/1dFREzxhaHfNXi6acLUwId87H3S1Wn9yM/view?usp=drive_link,,,,,,,149
eyeshadow,GRWM Cosmetics,Face Card Shadowplay - Velvet Matte Eyeshadow,Exclusive,wam reddish brown,velvet matte,Warm,,https://drive.google.com/file/d/1BnotW8LHiR78wuqvkjP1SLwYdBkGyFy0/view?usp=drive_link,,,,,,,149
eyeshadow,GRWM Cosmetics,Face Card Shadowplay - Velvet Matte Eyeshadow,Love,cool reddish brown,velvet matte,Cool,,https://drive.google.com/file/d/1eLq80Z_wnj7mRv2Q1zB5brw6Jcey6pZ5/view?usp=drive_link,,,,,,,149
eyeshadow,GRWM Cosmetics,Face Card Shadowplay - Velvet Matte Eyeshadow,Secrets,black brown,velvet matte,Neutral,,https://drive.google.com/file/d/1FzRfoJvzugCu8A9CFkvxcmtabgww1HGB/view?usp=drive_link,,,,,,,149
eyeshadow,GRWM Cosmetics,Face Card Shadowplay - Velvet Matte Eyeshadow,Icon,warm medium brown,velvet matte,Warm,,https://drive.google.com/file/d/1RKqQ6rJATiyKhySjtpzpfgee_wGa_gl9/view?usp=drive_link,,,,,,,149
eyeshadow,GRWM Cosmetics,Face Card Shadowplay - Velvet Matte Eyeshadow,Solace,cool light brown,velvet matte,Cool,,https://drive.google.com/file/d/1vLIONuqK2gd3AmqE0U-m8aRB3MxkQWrX/view?usp=drive_link,,,,,,,149
eyeshadow,GRWM Cosmetics,Face Card Shadowplay - Velvet Matte Eyeshadow,Petals,dusty old rose,velvet matte,"Cool, Neutral",,https://drive.google.com/file/d/1SbHOgkGxeHtjZg5T5Twg8mMB_CvGy-I5/view?usp=drive_link,,,,,,,149
eyeshadow,GRWM Cosmetics,Face Card Shadowplay - Velvet Matte Eyeshadow,Self‑Made,cool dark brown,velvet matte,Cool,,https://drive.google.com/file/d/1JNSavZm535W2yb-pXYR4tRp9nSuuoNhY/view?usp=drive_link,,,,,,,149
eyeshadow,GRWM Cosmetics,Face Card Shadowplay - Velvet Matte Eyeshadow,Pioneer,warm ivory white,velvet matte,Warm,,https://drive.google.com/file/d/1ZTIOzrDaVOrpabzRgV6h4MHkz-dGjz88/view?usp=drive_link,,,,,,,149
eyeshadow,GRWM Cosmetics,Face Card Shadowplay - Velvet Matte Eyeshadow,Cease,light cool gray,velvet matte,Cool,,https://drive.google.com/file/d/1GqyCk8F82nB2GUkqDmBHsNk5GqFg5bX1/view?usp=drive_link,,,,,,,149
eyeshadow,GRWM Cosmetics,Face Card Shadowplay - Velvet Matte Eyeshadow,Silverfox,deep cool gray,velvet matte,Cool,,https://drive.google.com/file/d/1uBfiVfScNb-QRNvMDHWQDAs7uJl28NHX/view?usp=drive_link,,,,,,,149
eyeshadow,GRWM Cosmetics,Face Card Shadowplay - Velvet Matte Eyeshadow,Slate,deep cool ash warm,velvet matte,Cool,,https://drive.google.com/file/d/1f6ItqS3tHf1dgeARMJox3MBhaL1kHFyu/view?usp=drive_link,,,,,,,149
eyeshadow,GRWM Cosmetics,Face Card Shadowplay - Velvet Matte Eyeshadow,Ashen,medium gray brown,velvet matte,Neutral,,https://drive.google.com/file/d/1jDpKzqiIizdYstWzLQTCFQO795DD65dy/view?usp=drive_link,,,,,,,149
eyeshadow,GRWM Cosmetics,Face Card Shadowplay - Velvet Matte Eyeshadow,Whisper,cool dusty light pink,velvet matte,Cool,,https://drive.google.com/file/d/1Kfj6myyYzzOwCForDJKtGTI2o7uuxI9N/view?usp=drive_link,,,,,,,149
